name,place_id,address,rating,user_ratings_total,price_level,latitude,longitude,area,phone,website,opening_hours,types,photos,source,international_phone,reviews_summary
Tahachal Physical Fitness Center and Swimming Pool and Futsal Arena,ChIJN3VP7l4Y6zkRDaNWIV1PVkM,"Puja Marg, Kathmandu 44600, Nepal",3.9,360,0,27.7007261,85.29646489999999,Kathmandu,01-5381057,https://www.facebook.com/pages/category/Stadium--Arena---Sports-Venue/Tahachal-Physical-Fitness-Center-144865932889682/,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"gym, health, point_of_interest, establishment",1,Google Places API,+977 1-5381057,"★4: I visited the pool during non busy days, so it wasn't crowded. However, I can imagine it would feel ... | ★4: Now the place has been renovated and has added facilities swimming pool, more gym equipments and new... | ★3: swimming pool is big enough with depth starting from 2ft-6ft.. small 2ft pool is for kids. No proper..."
National Sports Centre Pvt. Ltd.,ChIJk5zvAOoZ6zkRalLvBY6daMY,"M8GM+26R, Lalitpur 44600, Nepal",3.9,615,0,27.6770538,85.3338971,Kathmandu,01-5434470,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 7:00 PM; Sunday: 6:00 AM – 8:00 PM,"spa, gym, health, point_of_interest, establishment",1,Google Places API,+977 1-5434470,"★4: All on one sporting center, nice facility. Futsal ground is good and should say it is maintained. Sp... | ★4: The pool is 25 meters long and 3-6 feet deep. The changing room is nice with curtains and 4-5 cubicl... | ★4: I went to the National Sports Center last Saturday.  Futsal, gym, swimming pool and other activities..."
Imperial Rulz Futsal,ChIJtWySahAa6zkReM3PvRs1Bq0,"M9F8+9JC, Araniko Highway, Madhyapur Thimi 44600, Nepal",3.8,279,0,27.673437,85.3666011,Kathmandu,01-6636833,http://booksall.app/,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 6:00 AM – 7:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 6:00 AM – 7:00 PM; Sunday: 6:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-6636833,"★5: Ground is perfect for playing futsal. The carpet has been changed and maintainence is done nicely.... | ★2: Located in good locality, Imperial Rulz futsal used to be one of our favorite weekend retreats. Now ... | ★3: I'm a regular over here. I mostly visit this futshal ground three times a week along with my friends..."
Hattiban Futsal,ChIJr9ag-2YX6zkRUYTUDCQKoQ4,"M82J+FM7, सातदोबाटो गोदावरी सडक, Lalitpur 44700, Nepal",3.8,218,0,27.6511545,85.33167189999999,Kathmandu,01-5251490,http://www.futsalheadquarter.com/,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5251490,"★1: Worst futsal ever. Ground is also damage. Very high chance of getting injured
Time is just 50 minute... | ★1: Worst futsal ever. The pitch is torn and not maintained. Also the price is very high for such ill-ma... | ★4: Fine futsal with an affordable price...."
Green Wish Fitness Club & Futsal Center,ChIJGdH3rIwb6zkRgvtoRxNfXJM,"Unnamed Road, P9Q5+79J, बुढानीलकण्ठ 44600, Nepal",3.8,112,0,27.7382206,85.35837389999999,Kathmandu,984-1001851,,Monday: 5:00 AM – 9:00 PM; Tuesday: 5:00 AM – 9:00 PM; Wednesday: 5:00 AM – 9:00 PM; Thursday: 5:00 AM – 9:00 PM; Friday: 5:00 AM – 9:00 PM; Saturday: 5:00 AM – 9:00 PM; Sunday: 5:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1001851,"★4: This swimming pool offers a versatile depth range of 3ft to 6ft, suitable for both kids and adults. ... | ★5: Local spot 2000rs/month as of 2024. If you prefer a laid back vibe and you can take the heat, it has... | ★4: This recreation is located at the peaceful residencial areas whereas getway to this place is easy ac..."
Kick Futsal Lalitpur,ChIJ06SfSeUZ6zkR2chgq0lVpOs,"M8HH+8PC, Lalitpur 44600, Nepal",3.8,338,0,27.6783339,85.3291972,Kathmandu,980-8121351,http://facebook.com/kikfutsal,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-8121351,"★3: “The futsal facility is decent, offering a good playing surface and sufficient lighting. While the s... | ★4: The Futsal is Spacious and the price is affordable, issues regarding the futsal is it is not well ma... | ★3: Futsal Ground is very good, hygienic and enough space. Residents of the valley can easily get here. ..."
Busy Futsal,ChIJG3EA-GgY6zkRBVObNydhBCE,"M7RR+5G2, Link Marg, Kathmandu 44600, Nepal",3.8,165,0,27.6903445,85.2912238,Kathmandu,985-1038695,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 985-1038695,"★3: shittiest futsalground you can take the grass in your home to. because the grass are all dried out d... | ★3: Not too far from kalanki
It's not that bad ✅
Ground size is not that big... | ★3: Comparatively smaller than other nearby futsal. Clean and well maintained...."
Manakamana Futsal,ChIJZzSF8NEb6zkRPJyRdPcAWTQ,"P9MQ+3GX, Gokarneshwor 44600, Nepal",3.8,102,0,27.7327333,85.388829,Kathmandu,980-8403232,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-8403232,"★4: Futsal is an association football-based sport played on a hardcourt like a basketball court, smaller... | ★3: It's alright .  I mean the Futsal area was okay. Limited seating, sufficient parking space. But some... | ★3: Not too bad..."
Creative Futsal,ChIJ36NJe6kZ6zkRrL7iLvCvoPo,"M8GH+R9J Home, Sankhamul - Balkumari Rd, Lalitpur 44600, Nepal",3.8,161,0,27.6771603,85.32905470000001,Kathmandu,980-1913886,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-1913886,"★5: Good parking spaces, decent sized ground. The time punctuality is great. Never had to wait.... | ★3: Played there recently and the experience was okay. However it could have been a lot better if not fo... | ★5: Good futsal space..."
King come sports club Playground,ChIJY5lxwoQZ6zkRmWvSETi-pJo,"Bhimsengola Marg, Kathmandu 44600, Nepal",3.8,82,0,27.6984793,85.3458919,Kathmandu,984-1137451,,Monday: 6:15 AM – 5:30 PM; Tuesday: 6:15 AM – 5:30 PM; Wednesday: 6:15 AM – 5:30 PM; Thursday: 6:15 AM – 5:30 PM; Friday: 6:15 AM – 5:30 PM; Saturday: Closed; Sunday: 6:15 AM – 5:30 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1137451,"★5: Tesko agadi Babal mitho chicken variety, Momo , sausages and more paunxa with price less than 60 ani... | ★2: Should be managed, risk of football coming down to the street,we have few playgrounds left so let's ... | ★1: Before it was a public ground for all childrens to play but nowdays it has become like a private pro..."
Lumbini football Academy,ChIJY_FOmN4Z6zkRFL643Hj2o3Y,"Kathmandu 44600, Nepal",3.8,55,0,27.7207712,85.34952229999999,Kathmandu,082-560415,http://lumbinifa.com/,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: Closed; Saturday: 7:00 AM – 8:00 PM; Sunday: Closed,"point_of_interest, establishment",1,Google Places API,+977 82-560415,"★2: Worst Futsal in Kathmandu.. No discipline to talk by the futsal receptionist.... | ★3: The pitch was good during my visit. However, the field is rather square with a large D–box, which ki... | ★4: Big spacious playing ground. Good grass. Provides good playing experience at reasonable price.
Toile..."
Kick Off Futsal,ChIJs7tzMWwZ6zkRxiFxBS3Is8w,"P74H+4WF, Nagarjun 44600, Nepal",3.8,56,0,27.7053125,85.27981249999999,Kathmandu,981-0379593,,,"point_of_interest, establishment",1,Google Places API,+977 981-0379593,"★4: 👍🏿... | ★4: Nice place. Also it's amazing to out door game football made indoor game..... | ★4: Nice location, afforadble price. But poor quality of turf..."
Brother's Futsal and Snooker House,ChIJWWyX6bkb6zkRnapTgL7aLxE,"Gokarneshwor 44600, Nepal",3.8,73,0,27.7201033,85.3796038,Kathmandu,984-9041400,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-9041400,★3: Snooker and Futsal at one place ... And that too with a acceptable and fair price.... | ★3: Futsal ground is small but suitable for 4 a side match and snooker boards are also ok.... | ★3: The area for playing football is not much wide but the price here is low so its okay. You can play p...
A-One Futsal & Football Academy,ChIJ1xPtXz4Z6zkRbsDPaXZP0A0,"Near Indrayani Bridge, तारकेश्वर 44610, Nepal",3.8,31,0,27.7491952,85.3147671,Kathmandu,980-8670663,,Monday: 5:30 AM – 9:30 PM; Tuesday: 5:30 AM – 9:30 PM; Wednesday: 5:30 AM – 9:30 PM; Thursday: 5:30 AM – 9:30 PM; Friday: 5:30 AM – 9:30 PM; Saturday: Closed; Sunday: Closed,"point_of_interest, establishment",1,Google Places API,+977 980-8670663,"★4: A decent futsal court with a large area and a nice atmosphere.
Futsal balls themselves aren't of the... | ★4: It's good but the road to futsal is very cramped and muddy.
Futsal is nice and ok but the Air hits y... | ★3: It's nice but you can't go far away from the futsal premises. Still the area is quite spacious and t..."
River Field futsal,ChIJQdwwr-8Y6zkRzjxFqQZSfTA,"P8C2+38X, Khusibu Sadak, Kathmandu 44600, Nepal",3.7,460,0,27.7202371,85.30084719999999,Kathmandu,01-4361095,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4361095,"★1: I don't know how the owners expect people to pay to play on this good for nothing ancient turf!

Ter... | ★4: Very nice space. Best was the enough space for parking. Cars also if the number of bikes are less. T... | ★4: Great gym equipment. Very friendly instructors..."
Raftaar Futsal,ChIJoQMD-GAZ6zkRe1ZnzGXoc0c,"P9F2+R37, Saraswatinagar Rd, Kathmandu 44600, Nepal",3.7,98,0,27.7245405,85.3502062,Kathmandu,984-3151509,,Monday: 5:00 AM – 9:00 PM; Tuesday: 5:00 AM – 9:00 PM; Wednesday: 5:00 AM – 9:00 PM; Thursday: 5:00 AM – 9:00 PM; Friday: 5:00 AM – 9:00 PM; Saturday: 5:00 AM – 9:00 PM; Sunday: 5:00 AM – 12:00 AM,"point_of_interest, establishment",1,Google Places API,+977 984-3151509,"★1: Worst futsal I have ever played in . The size is very small and very low quality carpet grass .Moreo... | ★4: Good customer support.  Follow up call for the Customer's booking is done.  Proper Washrooms and dre... | ★5: 1000 for an hour. Good rate, good pitch. Overall, it's great...."
"Hamro Futsal, Syuchatar",ChIJnbN8wXsY6zkRn41zu8b1nxk,"Kathmandu 44600, Nepal",3.7,187,0,27.6964577,85.2784076,Kathmandu,984-1989779,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1989779,"★4: A quite good and peaceful place to play, washrooms and parking's are as well... | ★1: Futsal ground is okay but behavior of employee is rude. I played long time there (more than a year) ... | ★3: Great place to organise large program...."
Baneshwor Recreation Center,ChIJdZUyN5gZ6zkRY7fo7P0GQ6s,"M8XM+5XH, Sahabhagita Marga, Kathmandu 44605, Nepal",3.7,587,0,27.6950957,85.33598590000001,Kathmandu,01-4105028,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4105028,"★4: swimming pool is good enough, the changing room could be cleaner and with cloth hangers for ease.... | ★3: We played futsal here. There's futsal and spa available also.

The main problem we faced was time ma... | ★1: I recently visited Baneshwor Recreation Center, and while the owner was friendly and seemed genuinel..."
KURDAN FUTSAL,ChIJsUnYcp0i6zkRt0ZSEqL05BA,"Dhungaadda Chowk, Chandragiri 44600, Nepal",3.7,48,0,27.6896425,85.27105279999999,Kathmandu,984-0344994,,Monday: 6:00 AM – 9:30 PM; Tuesday: 6:00 AM – 9:30 PM; Wednesday: 6:00 AM – 9:30 PM; Thursday: 6:00 AM – 9:30 PM; Friday: 6:00 AM – 9:30 PM; Saturday: 6:00 AM – 9:30 PM; Sunday: 6:00 AM – 9:30 PM,"point_of_interest, establishment",1,Google Places API,+977 984-0344994,★3: The ground is large and location is also nearby the road. But the turf is not that good enough. The ... | ★1: Took money of 1 hour but got only to play 50minutes.... | ★4: Well managed Futsal Arena by Team Pandey. Only futsal arena location of this area. Has a food cafe a...
Buddhanagar Futsal,ChIJ1z7RcHsZ6zkRF-UqQ--sF_k,"Kathmandu 44600, Nepal",3.6,287,0,27.684365,85.3320198,Kathmandu,01-4792002,,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 6:00 AM – 7:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 6:00 AM – 7:00 PM; Sunday: 6:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4792002,"★4: Location is good, perfectly located at core buddha nagar area.... | ★3: Average futsal. Nothing exceptional. The ground is way smaller than Sankhamul futsal. Posts are also... | ★4: The price is a little expensive but overall good. They have plenty of rings and cones for training a..."
Duwal futsal,ChIJeyfUkDsa6zkRZi1uvZXnZDY,"Pepsi planning -35, M9R9+3WJ Pepsi Planning, काठमाडौँ 44600, Nepal",3.6,363,0,27.690558,85.36867199999999,Kathmandu,986-0309610,,Monday: 5:00 AM – 9:00 PM; Tuesday: 5:00 AM – 9:00 PM; Wednesday: 5:00 AM – 9:00 PM; Thursday: 5:00 AM – 9:00 PM; Friday: 5:00 AM – 9:00 PM; Saturday: 5:00 AM – 9:00 PM; Sunday: 5:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-0309610,"★3: This futsal is okay. However, it may not provide ample space for a large audience. To ensure a good ... | ★4: Its a very nice place to play futsal. It has two ground which help to continue a league very well. B... | ★5: It's an awesome place for an affordable price...."
Promotional Futsal,ChIJXe6NB20a6zkRGphYa_n-5TU,"M9FH+R77, Madhyapur Thimi 44600, Nepal",3.6,111,0,27.6745464,85.3781695,Kathmandu,01-6212821,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-6212821,"★4: Footsal and table tennis is available. Footsal costs between Rs1000 to Rs1500 and Rs 60 per hr for t... | ★4: An okay place with a decent rate and a good amount of space.
Has table tennis tables with fairly low... | ★3: Is this place still running? We were informed that it was taken over by the neighboring church! Does..."
X-Cel Futsal,ChIJCe5-lhYZ6zkRallXr3QpUJY,"P8FM+923, Kathmandu 44600, Nepal",3.6,483,0,27.7233797,85.3325496,Kathmandu,01-4440857,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4440857,"★5: I had a great experience overall! The service was very good—staff were friendly and efficient, and e... | ★5: you can enroll your kids for football training here. They have former national players as couch. The... | ★1: The institution has the worst management and they don't even follow simple norms and rules in the gr..."
Kathmandu Futsal,ChIJeXev8jYY6zkR-swR5bOfMk8,"M8C3+4FG, Bagdol Rd, Lalitpur 44600, Nepal",3.5,193,0,27.6704005,85.30398149999999,Kathmandu,980-2115981,,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-2115981,"★5: Nice turf. Good place. Doesn’t have car park though.... | ★2: location is a bit difficult to find even with the google maps we can wind up on a wrong ally. there ... | ★4: A futsal ground in Bagdole, Lalitpur. We play futsal here on every Tuesday and Thursday. The ground ..."
Best Futsal Imadol (Best Indoor Games),ChIJkaMf9y0Z6zkR5W9FzmZ-H0Q,"Shiva Gate, Mahalaxmi 44700, Nepal",3.5,43,0,27.6610604,85.3369345,Kathmandu,984-3041041,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-3041041,"★5: Best Futsal Imadol is a gem in the heart of the community, offering an outstanding venue for futsal ... | ★2: Ground is at the worst condition possible but good according to price... | ★3: This futsal is really low priced. Though the pitch is bit small. Not very suitable for having big ga..."
Sunrise S.A.S Futsal,ChIJq_RDhDkY6zkROmAdX0tk5PE,"M8G2+9CX, Ring Rd, Lalitpur 44600, Nepal",3.5,189,0,27.6759962,85.3011185,Kathmandu,986-0782591,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-0782591,"★4: New carpet , it would be even more better if there were some bench & canteen on the side for players... | ★3: Great owners gave us extra time to play as well, but the turf needs immediate replacement, can cause... | ★3: Good game but small ground and the ground was abit slippery..."
Royal Futsal,ChIJMVVRubwZ6zkRP8cQwEqcc8A,"Pushpa Nagar Marg, Kathmandu 44600, Nepal",3.5,607,0,27.6929167,85.33011789999999,Kathmandu,01-5244436,https://futsalnepal.wordpress.com/home/royal-futsal/,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5244436,"★3: Its okay.
Enough parking space, good surface.
Washrooms and changing room should be clean as foul sm... | ★3: Its ok futsal. We paid 1200 for an hour. The disappointing things  was they do not provide water to ... | ★4: Royal futsal located at Anamnagar Kathmandu. Well managed for futsal with parking and shower, bathro..."
Chaitya Futsal,ChIJsa_zFmcY6zkRgHyZ2vvjPNI,"M7WR+QGV, Redcross Rd, Kathmandu 44614, Nepal",3.5,172,0,27.6969861,85.2912818,Kathmandu,984-9719060,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-9719060,"★4: Decent futsal with reasonable fees. The ground is well maintained.

They use regular foootball. I st... | ★4: Nice ground but there is a bad smell like our Bagmati river on a corner.... | ★5: Loved the futsal. The turf seemed fresh as it was a newly renovated futsal. The space is also nice a..."
Futsal Court Funpark,ChIJG8XIUakZ6zkRKOoUsL6aIbY,"P829+2P9, Kathmandu 44600, Nepal",3.5,168,0,27.7000133,85.3193952,Kathmandu,980-3641222,,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-3641222,"★5: Quite good
Better environment and friendly owner... | ★3: The turf of the ground is not good. People may face the injury while sliding and tackling.... | ★1: I would suggest not to play at Fun Park Futsal at any cost. Merits & Demerits are mentioned below:
M..."
Phoenix Futsal & Swimming Pool,ChIJc1TR5NEY6zkR_NHbKO70MYU,"Eureka Rd, Tarakeshwar 44600, Nepal",3.5,162,0,27.7448887,85.3037116,Kathmandu,980-3954921,,Monday: 6:00 AM – 8:15 PM; Tuesday: 6:00 AM – 8:15 PM; Wednesday: 6:00 AM – 8:15 PM; Thursday: 6:00 AM – 8:15 PM; Friday: 6:00 AM – 8:15 PM; Saturday: 6:00 AM – 8:15 PM; Sunday: 6:00 AM – 8:15 PM,"point_of_interest, establishment",1,Google Places API,+977 980-3954921,"★5: Past experience was a bit bad but now I guess the area was growing well and also the water is good n... | ★1: Go here if you want bad experiences with everything and want to return home injured.
The turf is in ... | ★1: The price is decent but the experience speaks for itself. It's as bad as it can get, the quality of ..."
Sherpa Futsal Center,ChIJgX1IMNkb6zkRG5t5krBtBSk,"Kathmandu 44600, Nepal",3.4,109,0,27.7236563,85.3582844,Kathmandu,981-9676199,,Monday: 6:00 AM – 8:30 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 7:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 981-9676199,"★3: Went here as a last reserve and had one of the most intense games here. However, the Futsal itself i... | ★5: Our kids play there with a group of home schoolers, and it's a good facility. The surface was recent... | ★5: It is quite famous among youth who play futsal in kapan area not only for them it serves all who boo..."
Easy Futsal,ChIJu6UvRSQa6zkRAEgRwCg5irU,"old, M9R6+GRC, काठमाडौँ 44600, Nepal",3.4,109,0,27.6912743,85.362011,Kathmandu,01-4990648,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4990648,"★4: Easy futsal can be a choice to them who just started practicing football because it’s very affordabl... | ★1: Very bad quality turf there is no proper lineing in ground ( don't go to this futsal)... | ★1: Too old grasses, need maintenance  or change of grasses
Ground surface is not plain
Ball is too old ..."
Star Futsal,ChIJYT-0CiAZ6zkRvZXTqb5UYpQ,"P8J7+2F8, Kathmandu 44600, Nepal",3.4,170,0,27.7300909,85.313696,Kathmandu,982-3089339,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 982-3089339,"★4: Ground quality is great.  But change place stinks... | ★5: Good at the time.
Go Play and see... | ★3: In Past it used to be popular among players , well facilitated but In the present context , the pitc..."
Bhotebahal Futsal,ChIJe8o3U1IY6zkRtlLQuaCWaM4,"M8W6+G76, Kathmandu 44600, Nepal",3.4,237,0,27.6963528,85.3104541,Kathmandu,982-3325282,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 982-3325282,★5: Good place for football lover and play and train for good health.... | ★4: Great place with a big ground to play.... | ★2: The carpet is quite old and needs to be replaced. The court can be reached through a narrow road whe...
Bishal futsal,ChIJW_lKzgIZ6zkRBpjcZL_pFNM,"P8P9+W28, Kathmandu 44600, Nepal",3.4,29,0,27.7372889,85.3175649,Kathmandu,,,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,,★4: Nice... | ★1: Badly behaved... | ★5: Good place to play futsal I enjoyed it even they have badminton court and food service...
Prismatic Futsal & Recreation Center,ChIJqRk8KTYY6zkRoV-OpT9z8SU,"M8J4+9JQ, Lalitpur 44700, Nepal",3.3,316,0,27.6809746,85.306527,Kathmandu,01-5906629,,Monday: 7:00 AM – 9:15 PM; Tuesday: 7:00 AM – 9:15 PM; Wednesday: 7:00 AM – 9:15 PM; Thursday: 7:00 AM – 9:15 PM; Friday: 7:00 AM – 9:15 PM; Saturday: 7:00 AM – 9:15 PM; Sunday: 7:00 AM – 9:15 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5906629,"★4: Good old futsal center, parking and changing room available but no real estate outside on most part ... | ★4: I had stopped going to this futsal because the turf was torn and ill- maintanined but now they have ... | ★5: The turf here is a bit rough but the ground is really nice. The guy who looks after this place is al..."
